SaleDate,Vessel,Price,YearBuilt,Age_at_Sale,DWT,Capesize
39083,Lowlands Beilun,73,1999,8,170.2,4647
39083,CHS Moon,45,1991,16,150.2,4647
39083,Spring Brave,62,1995,12,151.1,4647
39083,Martha Verity,60,1995,12,158,4647
39083,TMT TBN,61.3,1993,14,174.7,4647
39114,Pantelis SP,83,1999,8,169.9,4878
39114,Amazon,45,1990,17,149.5,4878
39142,Cape Kassos,100,2004,3,170,5245
39142,Johnny K,65,1994,13,165.3,5245
39142,Zorbas,70,1996,11,165.1,5245
39142,Americana,33,1987,20,149,5245
39142,Martha Verity,63,1995,12,158,5245
39142,Ullswater,43,1990,17,123.5,5245
39173,Formosabulk Brave,95,2001,6,170.1,5752
39173,Formosabulk Clement,95,2001,6,170.1,5752
39173,Nautical Dream,63.5,1994,13,151.4,5752
39173,Formosabulk Allstart,67,1995,12,150.4,5752
39173,Arimathian,62,1994,13,149.8,5752
39173,Boss,31,1985,22,139.8,5752
39203,Zorbas II,86,1996,11,174.5,6201
39203,Fertilia,50.5,1997,10,172.6,6201
39203,Ingenious,64.2,1996,11,170,6201
39234,Anangel Dawn,67,1994,13,149.3,6618
39234,Orient Fortune,28,1984,23,161.4,6618
39264,Great Moon,30,1984,23,146,6980
39264,Gran Trader,105,2001,6,172.5,6980
39295,Cape Brazil,22,1981,26,140.8,7441
39326,Thalassini Kyra,133,2002,5,164.2,8181
39356,Tiger Lily,90,1995,12,149.2,8886
39356,Dong-A-Helios,47,1986,21,146.9,8886
39356,Marine Hunter,45,1984,23,164.5,8886
39356,Peace Glory,57,1984,23,166.1,8886
39387,Sumihou,106,1996,11,171.1,9663
39387,Gran Trader,152,2001,6,172.6,9663
39387,Netadola,97,1993,14,149.5,9663
39387,Nordstar,38,1983,24,150.7,9663
39387,Captain Vangelis L,87.5,1992,15,148.2,9663
39417,Voutakos,78,1987,20,188.3,10299
39417,Sachuest,35,1986,21,98.4,10299
39448,Sinfonia,83.7,1991,17,184.4,10526
39448,Jin Tai,155,2004,4,173.9,10526
39479,Dias,58,1988,20,135,10844
39508,Desimi,83,1989,19,207.1,11193
39508,Samos,25,1982,26,137,11193
39508,Cape Sun,135,1999,9,171.7,11193
39539,Nightflight,158,2004,4,170,11614
39569,Cape Falcon,87.2,1993,15,161.5,12479
39569,Castle Peak,82,1990,18,145.4,12479
